MGP ID,Entrez Gene ID,Enzyme/Reactants,Gene name,Symbol
MGP005118,"51099 
2.3.1.51| Reactants
abhydrolase domain containing 5
ABHD5",2.3.1.51| Reactants,abhydrolase domain containing 5,ABHD5
MGP004083,"10006 -
abl-interactor 1
ABI1",-,abl-interactor 1,ABI1
MGP004142,"10152 -
abl-interactor 2
ABI2",-,abl-interactor 2,ABI2
MGP000011,"25 
2.7.10.2| Reactants
ABL proto-oncogene 1, non-receptor tyrosine kinase
ABL1",2.7.10.2| Reactants,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ABL1
MGP000013,"27 
2.7.10.2| Reactants
ABL proto-oncogene 2, non-receptor tyrosine kinase
ABL2",2.7.10.2| Reactants,"ABL proto-oncogene 2, non-receptor tyrosine kinase",ABL2
MGP001819,"3983 -
actin binding LIM protein 1
ABLIM1",-,actin binding LIM protein 1,ABLIM1
MGP006135,"84448 -
actin binding LIM protein family, member 2
ABLIM2",-,"actin binding LIM protein family, member 2",ABLIM2
MGP004532,"22885 -
actin binding LIM protein family, member 3
ABLIM3",-,"actin binding LIM protein family, member 3",ABLIM3
MGP000014,"29 -
active BCR-related
ABR",-,active BCR-related,ABR
MGP000015,"30 
2.3.1.16| Reactants
acetyl-CoA acyltransferase 1
ACAA1",2.3.1.16| Reactants,acetyl-CoA acyltransferase 1,ACAA1
MGP004244,"10449 
2.3.1.16| Reactants
acetyl-CoA acyltransferase 2
ACAA2",2.3.1.16| Reactants,acetyl-CoA acyltransferase 2,ACAA2
MGP000016,"31 
6.4.1.2| Reactants
acetyl-CoA carboxylase alpha
ACACA",6.4.1.2| Reactants,acetyl-CoA carboxylase alpha,ACACA
MGP000017,"32 
6.4.1.2| Reactants
acetyl-CoA carboxylase beta
ACACB",6.4.1.2| Reactants,acetyl-CoA carboxylase beta,ACACB
MGP004906,"27034 
1.3.99.-
acyl-CoA dehydrogenase family, member 8
ACAD8",1.3.99.-,"acyl-CoA dehydrogenase family, member 8",ACAD8
MGP000018,"33 
1.3.8.8| Reactants
acyl-CoA dehydrogenase, long chain
ACADL",1.3.8.8| Reactants,"acyl-CoA dehydrogenase, long chain",ACADL
MGP000019,"34 
1.3.8.7| Reactants
acyl-CoA dehydrogenase, C-4 to C-12 straight chain
ACADM",1.3.8.7| Reactants,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain",ACADM
MGP000020,"35 
1.3.8.1| Reactants
acyl-CoA dehydrogenase, C-2 to C-3 short chain
ACADS",1.3.8.1| Reactants,"acyl-CoA dehydrogenase, C-2 to C-3 short chain",ACADS
MGP000021,"36 
1.3.8.5| Reactants
acyl-CoA dehydrogenase, short/branched chain
ACADSB",1.3.8.5| Reactants,"acyl-CoA dehydrogenase, short/branched chain",ACADSB
MGP000022,"37 
1.3.8.9| Reactants
acyl-CoA dehydrogenase, very long chain
ACADVL",1.3.8.9| Reactants,"acyl-CoA dehydrogenase, very long chain",ACADVL
MGP000023,"38 
2.3.1.9| Reactants
acetyl-CoA acetyltransferase 1
ACAT1",2.3.1.9| Reactants,acetyl-CoA acetyltransferase 1,ACAT1
MGP000024,"39 
2.3.1.9| Reactants
acetyl-CoA acetyltransferase 2
ACAT2",2.3.1.9| Reactants,acetyl-CoA acetyltransferase 2,ACAT2
MGP005824,"65057 -
adrenocortical dysplasia homolog (mouse)
ACD",-,adrenocortical dysplasia homolog (mouse),ACD
MGP000798,"1636 
3.2.1.-
angiotensin I converting enzyme
ACE",3.2.1.-,angiotensin I converting enzyme,ACE
MGP005699,"59272 
3.4.17.23| Reactants
angiotensin I converting enzyme 2
ACE2",3.4.17.23| Reactants,angiotensin I converting enzyme 2,ACE2
MGP006458,"125981 
3.5.1.23| Reactants
alkaline ceramidase 1
ACER1",3.5.1.23| Reactants,alkaline ceramidase 1,ACER1
MGP007013,"340485 
3.5.1.23| Reactants
alkaline ceramidase 2
ACER2",3.5.1.23| Reactants,alkaline ceramidase 2,ACER2
MGP005421,"55331 
3.5.1.-
alkaline ceramidase 3
ACER3",3.5.1.-,alkaline ceramidase 3,ACER3
MGP000027,"43 
3.1.1.7| Reactants
acetylcholinesterase (Yt blood group)
ACHE",3.1.1.7| Reactants,acetylcholinesterase (Yt blood group),ACHE
MGP004557,"22985 -
apoptotic chromatin condensation inducer 1
ACIN1",-,apoptotic chromatin condensation inducer 1,ACIN1
MGP001117,"2532 -
atypical chemokine receptor 1 (Duffy blood group)
ACKR1",-,atypical chemokine receptor 1 (Duffy blood group),ACKR1
MGP000604,"1238 -
atypical chemokine receptor 2
ACKR2",-,atypical chemokine receptor 2,ACKR2
MGP005585,"57007 -
atypical chemokine receptor 3
ACKR3",-,atypical chemokine receptor 3,ACKR3
MGP005205,"51554 -
atypical chemokine receptor 4
ACKR4",-,atypical chemokine receptor 4,ACKR4
MGP000028,"47 
2.3.3.8| Reactants
ATP citrate lyase
ACLY",2.3.3.8| Reactants,ATP citrate lyase,ACLY
MGP006507,"130013 
4.1.1.45| Reactants
aminocarboxymuconate semialdehyde decarboxylase
ACMSD",4.1.1.45| Reactants,aminocarboxymuconate semialdehyde decarboxylase,ACMSD
MGP000029,"48 
4.2.1.3| Reactants
aconitase 1, soluble
ACO1",4.2.1.3| Reactants,"aconitase 1, soluble",ACO1
MGP000031,"50 
4.2.1.3| Reactants
aconitase 2, mitochondrial
ACO2",4.2.1.3| Reactants,"aconitase 2, mitochondrial",ACO2
MGP006531,"134526 
3.1.2.1| Reactants
acyl-CoA thioesterase 12
ACOT12",3.1.2.1| Reactants,acyl-CoA thioesterase 12,ACOT12
MGP004082,"10005 
3.1.2.27| Reactants
acyl-CoA thioesterase 8
ACOT8",3.1.2.27| Reactants,acyl-CoA thioesterase 8,ACOT8
MGP003480,"8309 
1.17.99.3| Reactants
acyl-CoA oxidase 2, branched chain
ACOX2",1.17.99.3| Reactants,"acyl-CoA oxidase 2, branched chain",ACOX2
MGP003481,"8310 
1.3.3.6| Reactants
acyl-CoA oxidase 3, pristanoyl
ACOX3",1.3.3.6| Reactants,"acyl-CoA oxidase 3, pristanoyl",ACOX3
MGP000032,"52 
3.1.3.48| Reactants
acid phosphatase 1, soluble
ACP1",3.1.3.48| Reactants,"acid phosphatase 1, soluble",ACP1
MGP000033,"54 
3.1.3.2| Reactants
acid phosphatase 5, tartrate resistant
ACP5",3.1.3.2| Reactants,"acid phosphatase 5, tartrate resistant",ACP5
MGP000030,"49 
3.4.21.10
acrosin
ACR",3.4.21.10,acrosin,ACR
MGP001026,"2180 
6.2.1.3| Reactants
acyl-CoA synthetase long-chain family member 1
ACSL1",6.2.1.3| Reactants,acyl-CoA synthetase long-chain family member 1,ACSL1
MGP001027,"2181 
6.2.1.3| Reactants
acyl-CoA synthetase long-chain family member 3
ACSL3",6.2.1.3| Reactants,acyl-CoA synthetase long-chain family member 3,ACSL3
MGP001028,"2182 
6.2.1.3| Reactants
acyl-CoA synthetase long-chain family member 4
ACSL4",6.2.1.3| Reactants,acyl-CoA synthetase long-chain family member 4,ACSL4
MGP005237,"51703 
6.2.1.3| Reactants
acyl-CoA synthetase long-chain family member 5
ACSL5",6.2.1.3| Reactants,acyl-CoA synthetase long-chain family member 5,ACSL5
MGP004630,"23305 
6.2.1.3| Reactants
acyl-CoA synthetase long-chain family member 6
ACSL6",6.2.1.3| Reactants,acyl-CoA synthetase long-chain family member 6,ACSL6
MGP006367,"116285 
6.2.1.2| Reactants
acyl-CoA synthetase medium-chain family member 1
ACSM1",6.2.1.2| Reactants,acyl-CoA synthetase medium-chain family member 1,ACSM1
MGP006443,"123876 
6.2.1.2| Reactants
acyl-CoA synthetase medium-chain family member 2A
ACSM2A",6.2.1.2| Reactants,acyl-CoA synthetase medium-chain family member 2A,ACSM2A
MGP007047,"348158 
6.2.1.2| Reactants
acyl-CoA synthetase medium-chain family member 2B
ACSM2B",6.2.1.2| Reactants,acyl-CoA synthetase medium-chain family member 2B,ACSM2B
MGP007018,"341392 
6.2.1.2| Reactants
acyl-CoA synthetase medium-chain family member 4
ACSM4",6.2.1.2| Reactants,acyl-CoA synthetase medium-chain family member 4,ACSM4
MGP005357,"54988 
6.2.1.2| Reactants
acyl-CoA synthetase medium-chain family member 5
ACSM5",6.2.1.2| Reactants,acyl-CoA synthetase medium-chain family member 5,ACSM5
MGP006143,"84532 
6.2.1.1| Reactants
acyl-CoA synthetase short-chain family member 1
ACSS1",6.2.1.1| Reactants,acyl-CoA synthetase short-chain family member 1,ACSS1
MGP005517,"55902 -
acyl-CoA synthetase short-chain family member 2
ACSS2",-,acyl-CoA synthetase short-chain family member 2,ACSS2
MGP005886,"79611 
6.2.1.1| Reactants
acyl-CoA synthetase short-chain family member 3
ACSS3",6.2.1.1| Reactants,acyl-CoA synthetase short-chain family member 3,ACSS3
MGP000034,"58 -
actin, alpha 1, skeletal muscle
ACTA1",-,"actin, alpha 1, skeletal muscle",ACTA1
MGP000035,"59 -
actin, alpha 2, smooth muscle, aorta
ACTA2",-,"actin, alpha 2, smooth muscle, aorta",ACTA2
MGP000036,"60 -
actin, beta
ACTB",-,"actin, beta",ACTB
MGP000037,"70 -
actin, alpha, cardiac muscle 1
ACTC1",-,"actin, alpha, cardiac muscle 1",ACTC1
MGP000038,"71 -
actin, gamma 1
ACTG1",-,"actin, gamma 1",ACTG1
MGP000039,"72 -
actin, gamma 2, smooth muscle, enteric
ACTG2",-,"actin, gamma 2, smooth muscle, enteric",ACTG2
MGP000041,"86 -
actin-like 6A
ACTL6A",-,actin-like 6A,ACTL6A
MGP005182,"51412 -
actin-like 6B
ACTL6B",-,actin-like 6B,ACTL6B
MGP000042,"87 -
actinin, alpha 1
ACTN1",-,"actinin, alpha 1",ACTN1
MGP000043,"88 -
actinin, alpha 2
ACTN2",-,"actinin, alpha 2",ACTN2
MGP000044,"89 -
actinin, alpha 3 (gene/pseudogene)
ACTN3",-,"actinin, alpha 3 (gene/pseudogene)",ACTN3
MGP000040,"81 -
actinin, alpha 4
ACTN4",-,"actinin, alpha 4",ACTN4
MGP004132,"10121 -
ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
ACTR1A",-,"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)",ACTR1A
MGP004131,"10120 -
ARP1 actin-related protein 1 homolog B, centractin beta (yeast)
ACTR1B",-,"ARP1 actin-related protein 1 homolog B, centractin beta (yeast)",ACTR1B
MGP004121,"10097 -
ARP2 actin-related protein 2 homolog (yeast)
ACTR2",-,ARP2 actin-related protein 2 homolog (yeast),ACTR2
MGP004120,"10096 -
ARP3 actin-related protein 3 homolog (yeast)
ACTR3",-,ARP3 actin-related protein 3 homolog (yeast),ACTR3
MGP000045,"91 
2.7.11.30| Reactants
activin A receptor, type IB
ACVR1B",2.7.11.30| Reactants,"activin A receptor, type IB",ACVR1B
MGP006511,"130399 
2.7.11.30| Reactants
activin A receptor, type IC
ACVR1C",2.7.11.30| Reactants,"activin A receptor, type IC",ACVR1C
MGP000046,"92 
2.7.11.30| Reactants
activin A receptor, type IIA
ACVR2A",2.7.11.30| Reactants,"activin A receptor, type IIA",ACVR2A
MGP000047,"93 
2.7.11.30| Reactants
activin A receptor, type IIB
ACVR2B",2.7.11.30| Reactants,"activin A receptor, type IIB",ACVR2B
MGP000048,"95 
3.5.1.14| Reactants
aminoacylase 1
ACY1",3.5.1.14| Reactants,aminoacylase 1,ACY1
MGP006264,"91703 
3.5.1.114| Reactants
aspartoacylase (aminocyclase) 3
ACY3",3.5.1.114| Reactants,aspartoacylase (aminocyclase) 3,ACY3
MGP000049,"97 
3.6.1.7| Reactants
acylphosphatase 1, erythrocyte (common) type
ACYP1",3.6.1.7| Reactants,"acylphosphatase 1, erythrocyte (common) type",ACYP1
MGP000050,"100 
3.5.4.4| Reactants
adenosine deaminase
ADA",3.5.4.4| Reactants,adenosine deaminase,ADA
MGP006680,"161823 
3.5.4.-;
adenosine deaminase-like
ADAL",3.5.4.-;,adenosine deaminase-like,ADAL
MGP000052,"102 
3.4.24.81
ADAM metallopeptidase domain 10
ADAM10",3.4.24.81,ADAM metallopeptidase domain 10,ADAM10
MGP003446,"8038 
3.4.24.-
ADAM metallopeptidase domain 12
ADAM12",3.4.24.-,ADAM metallopeptidase domain 12,ADAM12
MGP003675,"8751 
3.4.24.-
ADAM metallopeptidase domain 15
ADAM15",3.4.24.-,ADAM metallopeptidase domain 15,ADAM15
MGP003044,"6868 
3.4.24.86
ADAM metallopeptidase domain 17
ADAM17",3.4.24.86,ADAM metallopeptidase domain 17,ADAM17
MGP001112,"2515 -
ADAM metallopeptidase domain 2
ADAM2",-,ADAM metallopeptidase domain 2,ADAM2
MGP003674,"8748 
3.4.24.-
ADAM metallopeptidase domain 20
ADAM20",3.4.24.-,ADAM metallopeptidase domain 20,ADAM20
MGP003673,"8747 
3.4.24.-
ADAM metallopeptidase domain 21
ADAM21",3.4.24.-,ADAM metallopeptidase domain 21,ADAM21
MGP000051,"101 
3.4.24.-
ADAM metallopeptidase domain 8
ADAM8",3.4.24.-,ADAM metallopeptidase domain 8,ADAM8
MGP003676,"8754 
3.4.24.-
ADAM metallopeptidase domain 9
ADAM9",3.4.24.-,ADAM metallopeptidase domain 9,ADAM9
MGP006056,"81792 
3.4.24.-
ADAM metallopeptidase with thrombospondin type 1 motif, 12
ADAMTS12",3.4.24.-,"ADAM metallopeptidase with thrombospondin type 1 motif, 12",ADAMTS12
MGP004448,"11093 
3.4.24.87
ADAM metallopeptidase with thrombospondin type 1 motif, 13
ADAMTS13",3.4.24.87,"ADAM metallopeptidase with thrombospondin type 1 motif, 13",ADAMTS13
MGP006577,"140766 
3.4.24.-
ADAM metallopeptidase with thrombospondin type 1 motif, 14
ADAMTS14",3.4.24.-,"ADAM metallopeptidase with thrombospondin type 1 motif, 14",ADAMTS14
MGP006720,"170689 
3.4.24.-
ADAM metallopeptidase with thrombospondin type 1 motif, 15
ADAMTS15",3.4.24.-,"ADAM metallopeptidase with thrombospondin type 1 motif, 15",ADAMTS15
MGP006721,"170691 
3.4.24.-
ADAM metallopeptidase with thrombospondin type 1 motif, 17
ADAMTS17",3.4.24.-,"ADAM metallopeptidase with thrombospondin type 1 motif, 17",ADAMTS17
MGP006725,"171019 
3.4.24.-
ADAM metallopeptidase with thrombospondin type 1 motif, 19
ADAMTS19",3.4.24.-,"ADAM metallopeptidase with thrombospondin type 1 motif, 19",ADAMTS19
MGP003930,"9509 
3.4.24.14
ADAM metallopeptidase with thrombospondin type 1 motif, 2
ADAMTS2",3.4.24.14,"ADAM metallopeptidase with thrombospondin type 1 motif, 2",ADAMTS2
MGP005959,"80070 
3.4.24.-
ADAM metallopeptidase with thrombospondin type 1 motif, 20
ADAMTS20",3.4.24.-,"ADAM metallopeptidase with thrombospondin type 1 motif, 20",ADAMTS20
MGP003929,"9508 
3.4.24.-
ADAM metallopeptidase with thrombospondin type 1 motif, 3
ADAMTS3",3.4.24.-,"ADAM metallopeptidase with thrombospondin type 1 motif, 3",ADAMTS3
MGP003928,"9507 
3.4.24.82
ADAM metallopeptidase with thrombospondin type 1 motif, 4
ADAMTS4",3.4.24.82,"ADAM metallopeptidase with thrombospondin type 1 motif, 4",ADAMTS4
MGP004449,"11096 
3.4.24.-
ADAM metallopeptidase with thrombospondin type 1 motif, 5
ADAMTS5",3.4.24.-,"ADAM metallopeptidase with thrombospondin type 1 motif, 5",ADAMTS5
MGP005584,"56999 
3.4.24.-
ADAM metallopeptidase with thrombospondin type 1 motif, 9
ADAMTS9",3.4.24.-,"ADAM metallopeptidase with thrombospondin type 1 motif, 9",ADAMTS9
MGP006296,"92949 -
ADAMTS-like 1
ADAMTSL1",-,ADAMTS-like 1,ADAMTSL1
MGP003989,"9719 -
ADAMTS-like 2
ADAMTSL2",-,ADAMTS-like 2,ADAMTSL2
MGP005612,"57188 -
ADAMTS-like 3
ADAMTSL3",-,ADAMTS-like 3,ADAMTSL3
MGP005294,"54507 -
ADAMTS-like 4
ADAMTSL4",-,ADAMTS-like 4,ADAMTSL4
MGP000053,"103 
3.5.4.37| Reactants
adenosine deaminase, RNA-specific
ADAR",3.5.4.37| Reactants,"adenosine deaminase, RNA-specific",ADAR
MGP000054,"104 -
adenosine deaminase, RNA-specific, B1
ADARB1",-,"adenosine deaminase, RNA-specific, B1",ADARB1
MGP000055,"107 
4.6.1.1| Reactants
adenylate cyclase 1 (brain)
ADCY1",4.6.1.1| Reactants,adenylate cyclase 1 (brain),ADCY1
MGP005501,"55811 
4.6.1.1| Reactants
adenylate cyclase 10 (soluble)
ADCY10",4.6.1.1| Reactants,adenylate cyclase 10 (soluble),ADCY10
MGP000056,"108 
4.6.1.1| Reactants
adenylate cyclase 2 (brain)
ADCY2",4.6.1.1| Reactants,adenylate cyclase 2 (brain),ADCY2
MGP000057,"109 
4.6.1.1| Reactants
adenylate cyclase 3
ADCY3",4.6.1.1| Reactants,adenylate cyclase 3,ADCY3
MGP006740,"196883 -
adenylate cyclase 4
ADCY4",-,adenylate cyclase 4,ADCY4
MGP000058,"111 
4.6.1.1| Reactants
adenylate cyclase 5
ADCY5",4.6.1.1| Reactants,adenylate cyclase 5,ADCY5
MGP000059,"112 
4.6.1.1| Reactants
adenylate cyclase 6
ADCY6",4.6.1.1| Reactants,adenylate cyclase 6,ADCY6
MGP000060,"113 
4.6.1.1| Reactants
adenylate cyclase 7
ADCY7",4.6.1.1| Reactants,adenylate cyclase 7,ADCY7
MGP000061,"114 
4.6.1.1| Reactants
adenylate cyclase 8 (brain)
ADCY8",4.6.1.1| Reactants,adenylate cyclase 8 (brain),ADCY8
MGP000062,"115 
4.6.1.1| Reactants
adenylate cyclase 9
ADCY9",4.6.1.1| Reactants,adenylate cyclase 9,ADCY9
MGP000063,"116 -
adenylate cyclase activating polypeptide 1 (pituitary)
ADCYAP1",-,adenylate cyclase activating polypeptide 1 (pituitary),ADCYAP1
MGP000064,"117 -
adenylate cyclase activating polypeptide 1 (pituitary) receptor type I
ADCYAP1R1",-,adenylate cyclase activating polypeptide 1 (pituitary) receptor type I,ADCYAP1R1
MGP000065,"118 -
adducin 1 (alpha)
ADD1",-,adducin 1 (alpha),ADD1
MGP000066,"124 
1.1.1.1| Reactants
alcohol dehydrogenase 1A (class I), alpha polypeptide
ADH1A",1.1.1.1| Reactants,"alcohol dehydrogenase 1A (class I), alpha polypeptide",ADH1A
MGP000067,"125 
1.1.1.1| Reactants
alcohol dehydrogenase 1B (class I), beta polypeptide
ADH1B",1.1.1.1| Reactants,"alcohol dehydrogenase 1B (class I), beta polypeptide",ADH1B
MGP000068,"126 
1.1.1.1| Reactants
alcohol dehydrogenase 1C (class I), gamma polypeptide
ADH1C",1.1.1.1| Reactants,"alcohol dehydrogenase 1C (class I), gamma polypeptide",ADH1C
MGP000069,"127 
1.1.1.1| Reactants
alcohol dehydrogenase 4 (class II), pi polypeptide
ADH4",1.1.1.1| Reactants,"alcohol dehydrogenase 4 (class II), pi polypeptide",ADH4
MGP000070,"130 
1.1.1.1;| Reactants
alcohol dehydrogenase 6 (class V)
ADH6",1.1.1.1;| Reactants,alcohol dehydrogenase 6 (class V),ADH6
MGP000071,"131 
1.1.1.1| Reactants
alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
ADH7",1.1.1.1| Reactants,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",ADH7
MGP006546,"137872 
1.1.99.24| Reactants
alcohol dehydrogenase, iron containing, 1
ADHFE1",1.1.99.24| Reactants,"alcohol dehydrogenase, iron containing, 1",ADHFE1
MGP005406,"55256 
1.13.11.54| Reactants
acireductone dioxygenase 1
ADI1",1.13.11.54| Reactants,acireductone dioxygenase 1,ADI1
MGP003877,"9370 -
adiponectin, C1Q and collagen domain containing
ADIPOQ",-,"adiponectin, C1Q and collagen domain containing",ADIPOQ
MGP000072,"132 
2.7.1.20| Reactants
adenosine kinase
ADK",2.7.1.20| Reactants,adenosine kinase,ADK
MGP000073,"133 -
adrenomedullin
ADM",-,adrenomedullin,ADM
MGP005940,"79924 -
adrenomedullin 2
ADM2",-,adrenomedullin 2,ADM2
MGP006180,"84890 
1.13.11.19| Reactants
2-aminoethanethiol (cysteamine) dioxygenase
ADO",1.13.11.19| Reactants,2-aminoethanethiol (cysteamine) dioxygenase,ADO
